"id_identificador";"latitud";"longitud";"descripcion";"direccion";"fechaAlta";"Zona";"Barrio";"codigo_unico";"Potencia";"Marca";"Telegestión";"Fabricante";"Modelo";"Tecnología";"Fotocélula";"Status"
1221379;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;ANGEL MONASTERIO 914;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1221380;-34.52582825097683;-58.47550392150879;ITALAVIA 100W     Soporte: COL 9/2 M   ;ANGEL MONASTERIO 914;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"100";ITALAVIA;Si;ELT / ITALAVIA;"82302011-146";LED;Si;
1221381;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;ANGEL MONASTERIO 934;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1221382;-34.52582825097683;-58.47550392150879;LUMENAC 100W FLOW Soporte: COL 9/2 M   ;ANGEL MONASTERIO 934;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"100";LUMENAC;Si;LUMENAC;FLOW CON TELEGESTION;LED;Si;
1221383;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;ANGEL MONASTERIO 998;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1221384;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;ANGEL MONASTERIO 998;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1221385;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;ANGEL MONASTERIO 1011;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1221386;-34.52582825097683;-58.47550392150879;LUMINARIA VIAL 105W QIPOWER  Soporte: COL 9/2 M   ;ANGEL MONASTERIO 1011;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"105";QUISUR;No;QUISUR;QIPOWER;LED;Si;
1221387;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;ANGEL MONASTERIO 1049;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1221388;-34.52582825097683;-58.47550392150879;LUMENAC 100W FLOW Soporte: COL 9/2 M   ;ANGEL MONASTERIO 1049;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"100";LUMENAC;Si;LUMENAC;FLOW CON TELEGESTION;LED;Si;
1221389;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;ANGEL MONASTERIO 1059;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1221390;-34.52582825097683;-58.47550392150879;LUMENAC 100W FLOW Soporte: COL 9/2 M   ;ANGEL MONASTERIO 1059;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"100";LUMENAC;Si;LUMENAC;FLOW CON TELEGESTION;LED;Si;
1221391;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;ANGEL MONASTERIO 1097;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1221392;-34.52582825097683;-58.47550392150879;LUMENAC 100W FLOW Soporte: COL 9/2 M   ;ANGEL MONASTERIO 1097;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"100";LUMENAC;Si;LUMENAC;FLOW CON TELEGESTION;LED;Si;
1221393;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;ANGEL MONASTERIO 1111;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1221394;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;ANGEL MONASTERIO 1111;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1221395;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;ANGEL MONASTERIO 1149;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1221396;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;ANGEL MONASTERIO 1149;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1221397;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;ANGEL MONASTERIO 1189;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1221398;-34.52582825097683;-58.47550392150879;LUMENAC 100W FLOW Soporte: COL 9/2 M   ;ANGEL MONASTERIO 1189;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"100";LUMENAC;Si;LUMENAC;FLOW CON TELEGESTION;LED;Si;
1221399;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;ANGEL MONASTERIO 1205;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1221400;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;ANGEL MONASTERIO 1205;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1221401;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;ANGEL MONASTERIO 1223;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1221402;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;ANGEL MONASTERIO 1223;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1221403;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;ANGEL MONASTERIO 1295;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1221404;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;ANGEL MONASTERIO 1295;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1221405;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;ANGEL MONASTERIO 1309;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1221406;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;ANGEL MONASTERIO 1309;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1221407;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;ANGEL MONASTERIO 1375;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1221408;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;ANGEL MONASTERIO 1375;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1221409;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;ANGEL MONASTERIO 1395;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1221410;-34.52582825097683;-58.47550392150879;PHILCO 120 Soporte: COL 9/2 M   ;ANGEL MONASTERIO 1395;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"120";PHILCO;No;PHILCO;PHILCO 120;LED;No;
1221411;-34.52582825097683;-58.47550392150879;FAROLA ASY216050A Soporte: BRAZO/N;ANGEL MONASTERIO 1408;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"60";N/D;No;N/D;N/D;LED;No;
1221412;-34.52582825097683;-58.47550392150879;PHILCO 80  Soporte: COL 6,5/2 M ;ANGEL MONASTERIO 1408;'2024-03-19 09:00:00';Mantelectric;Vicente Lopez;cod:B;"80";PHILCO;No;PHILCO;N/D;LED;No;
